ID,Identyfikator API,Nazwa,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Budynku,Numer Lokalu,Email,Telefon,Liczba dzieci,Liczba miejsc,Adres WWW
2596,15956/Z,Żłobek Misie Tulisie Stalowa Wola,PODKARPACKIE,stalowowolski,Stalowa Wola,Stalowa Wola,ul. Marcelego Siedlanowskiego,5,103,dyrektor.stalowawola@misietulisie.edu.pl,536000281,16,23,https://www.misietulisie.edu.pl
2597,17139/Z,Klub dziecięcy Wesoła Kraina,POMORSKIE,Gdańsk,Gdańsk,Gdańsk,ul. Toruńska,18c,,wesolakraina@op.pl,513703177,24,25,www.wesolakraina.com.pl
2598,17272/Z,"Gminny Klub Dziecięcy ""Tygrysek""",ŚLĄSKIE,kłobucki,Popów,Zawady,ul. Szkolna,8,,klub.tygrysek@gminapopow.pl,518025167,12,12,
2599,17331/Z,ŻŁOBEK NUBO I ,ŁÓDZKIE,Łódź,Łódź-Górna,Łódź-Górna,ul. Walerego Wróblewskiego,8,,sekretariat@nubo.edu.pl,511313218,0,45,www.nubo.edu.pl
2600,17334/Z,ŻŁOBEK NIEPUBLICZNY ALPIDO,KUJAWSKO-POMORSKIE,wąbrzeski,Wąbrzeźno,Wąbrzeźno,ul. Wolności,16,,zlobekalpido@gmail.com,604238767,11,30,www.alpido.eu
2601,17405/Z,Żłobek Szczęśliwych Maluchów Anna Głogowska-Maj,LUBELSKIE,Lublin,Lublin,Lublin,ul. Berylowa,9A,,szczesliwymaluch@op.pl,506729261,61,61,www.szczesliwymaluch.pl
2602,17472/Z,"Klub Dziecięcy ""Kolorowy Domek"" w Żydowie",WIELKOPOLSKIE,gnieźnieński,Czerniejewo,Żydowo,ul. Tadeusza Kościuszki,24,,klubzydowo@czerniejewo.pl,609487244,23,30,www.klubdzieciecyzydowo.pl
2603,17290/Z,Żłobek Gminny w Klimontowie,ŚWIĘTOKRZYSKIE,sandomierski,Klimontów,Klimontów,ul. Szkolna,0,1,przedszkoleklimontow@op.pl,+48158661028,15,14,
2604,17475/Z,Żłobek Żółwik,MAŁOPOLSKIE,olkuski,Wolbrom,Wolbrom,ul. Marszałka Piłsudskiego,68,,tommar@autograf.pl,505062244,27,30,www.misjadziecko.com.pl/zlobekzolwik
2605,17950/Z,Gminny Żłobek w Osiecznej,WIELKOPOLSKIE,leszczyński,Osieczna,Osieczna,ul. Krzywińska,4A,,zlobek.osieczna@osieczna.pl,663459511,10,16,
2606,17951/Z,"Żłobek Niepubliczny ""Dom Bajki""",MAŁOPOLSKIE,gorlicki,Gorlice,Gorlice,ul. Stróżowska,64,,dombajki@gmail.com,512288043,81,80,www.dombajki.pl
2607,17954/Z,Niepubliczny Żłobek TUPTU Włochy,MAZOWIECKIE,Warszawa,Warszawa - Włochy,Warszawa - Włochy,ul. Pola Karolińskie,2B,700,wlochy@tuptu.pl,796404046,40,40,tuptu.pl
2608,18911/Z,"Niepubliczny Klub Malucha ,,Fantazja"" Michalina Rumińska",KUJAWSKO-POMORSKIE,lipnowski,Kikół,Kikół,ul. Toruńska,25,,mika92.92.92@o2.pl,500238447,24,24,
2609,19316/Z,ŻŁOBEK MAGICZNY ZAKĄTEK,WIELKOPOLSKIE,wrzesiński,Września,Września,ul. Owocowa,2,,sekretariat@magicznyzakatek.com.pl,698244209,11,11,
2610,19786/Z,Harmony Montessori Park II,MAZOWIECKIE,Warszawa,Warszawa - Ursynów,Warszawa - Ursynów,ul. Pieskowa Skała,7,PU01-02-03,dyrekcja@harmonymontessoripark.pl,885884119,15,65,www.harmonymontessoripark.pl
2611,19789/Z,"Żłobek ""Aniołek"" w Turce",LUBELSKIE,lubelski,Wólka,Turka,ul. Malinowa,3,,biuro@przedszkole-aniolek.pl,502056124,28,50,
2612,13862/Z,"Niepubliczny Żłobek ""Akademia Kolorowych Podróży""",ŚLĄSKIE,Sosnowiec,Sosnowiec,Sosnowiec,ul. Partyzantów,11,,zlobek@przedszkoleakp.pl,694242870,11,30,www.przedszkoleakp.pl/zlobek
2613,17148/Z,Gminny Klub Malucha w Pomiechówku,MAZOWIECKIE,nowodworski,Pomiechówek,Pomiechówek,ul. Nasielska,3,,klubmalucha@pomiechowek.pl,506842304,30,30,
2614,17298/Z,Klub Dziecięcy Nr 1 w Cekowie-Kolonii,WIELKOPOLSKIE,kaliski,Ceków-Kolonia,Ceków-Kolonia,,41B,,gops@cekow.pl,627631088,10,32,
2615,17373/Z,Akademia Malucha,WIELKOPOLSKIE,Konin,Konin,Konin,ul. Zofii Urbanowskiej,9,,akademia.malucha@zdz.poznan.pl,571229307,5,25,https://www.facebook.com/Akademia-Malucha-353209512510713
2616,18912/Z,KLUB DZIECIĘCY DZIKIE PLĄSY,POMORSKIE,starogardzki,Starogard Gdański,Starogard Gdański,ul. Osiedle 60-lecia Odzyskania Niepodległości Polski,14,4,BIURO.AKADEMIAWOOW@GMAIL.COM,572584044,12,20,
2617,19629/Z,"Żłobek   ""Pluszowy Miś""",MAZOWIECKIE,wołomiński,Marki,Marki,ul. Tadeusza Kościuszki,41 g,7,pluszowymis@przedszkola.net.pl,606484373,24,34,pluszowymis.pl
2618,12240/Z,"Żłobek Marsjanki, Sale Zabaw Marsjanki",LUBUSKIE,Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,ul. Franciszka Walczaka,23,J,wisniewska-aneta@o2.pl,724891748,40,30,
2619,20878/Z,Żłobek Gminny w Boguchwałowicach,ŚLĄSKIE,będziński,Mierzęcice,Boguchwałowice,ul. Buczka,1,,poczta@zgbce.mierzecice.pl,322887019,18,18,
2620,16911/Z,Niepubliczny Żłobek Mali Przyrodnicy,MAŁOPOLSKIE,Kraków,Kraków-Śródmieście,Kraków-Śródmieście,al. Aleja Pokoju,83,9 i 10,biuro@zlobekmaliprzyrodnicy.pl,602117101,40,40,www.zlobekmaliprzyrodnicy.pl
2621,17141/Z,Żłobek nr 2 w Pile,WIELKOPOLSKIE,pilski,Piła,Piła,ul. Spacerowa,23,,zlobeknr1@cuw.pila.pl,672131606,34,34,zespolzlobkow.pila.pl
2622,17144/Z,"Sensolandia Żłobek, Diagnoza, Terapia Dziecka - Piotr Jaśkiewicz",MAZOWIECKIE,warszawski zachodni,Błonie,Błonie,ul. Faszczycka,3B,,biuro@sensolandia.pl,501270377,13,13,
2623,17149/Z,"Żłobek Gminny ""Morska Kraina"" w Jarosławcu",ZACHODNIOPOMORSKIE,sławieński,Postomino,Jarosławiec,ul. Bałtycka,65B,,dyrektor@zlobekjaroslawiec.pl,570724950,19,29,
2624,17150/Z,"Niepubliczny Żłobek Sportowo-Językowy Fair Play ""Trzy Stawy""",ŚLĄSKIE,Katowice,Katowice,Katowice,ul. gen. Kazimierza Pułaskiego,42,,biuro@przedszkolefairplay.katowice.pl,509366118,22,32,www.przedszkolefairplay.pl
2625,18790/Z,KidsFirst by Katarzyna Szulc,MAZOWIECKIE,Warszawa,Warszawa - Praga-Północ,Warszawa - Praga-Północ,ul. Szwedzka,30,KAU1,katarzyna.szulc@kidsfirst.edu.pl,787958888,30,30,www.kidsfirst.edu.pl
2626,18793/Z,Żłobek Uśmiechnięty,MAZOWIECKIE,płocki,Wyszogród,Wyszogród,ul. Kościelna,1,,zlobekusmiechniety@fep.edu.pl,798926022,25,25,
2627,18975/Z,"Żłobek ""Przytulaki"" 2",POMORSKIE,gdański,Pruszcz Gdański,Pruszcz Gdański,ul. Obrońców Pokoju,30b,,zlobek.przytulaki@gmail.com,518459686,15,24,
2628,19219/Z,Żłobek Gramolaki,ŁÓDZKIE,zgierski,Zgierz,Zgierz,ul. Norberta Barlickiego,3,,zlobekgramolaki@gmail.com,693425405,32,48,www.zlobekgramolaki.pl
2629,19578/Z,Żłobek Niepubliczny U Cioci POLI,ŚLĄSKIE,Zabrze,Zabrze,Zabrze,ul. Dionizego Trocera,39,,uciocipoli@interia.pl,516736392,53,53,uciocipoli.pl
2630,19782/Z,Krasnale Wrocławskie,DOLNOŚLĄSKIE,Wrocław,Wrocław-Krzyki,Wrocław-Krzyki,ul. Skarbowców,85B,,przygodynaskarbowcow@gmail.com,695780077,24,25,
2631,19788/Z,PRYWATNY ŻŁOBEK AKADEMIA UŚMIECHU,WIELKOPOLSKIE,poznański,Mosina,Mosina,ul. Bolesława Śmiałego,4A 4B,,zlobekakademiausmiechu@gmail.com,601305466,29,40,
2632,17179/Z,Niepubliczny Żłobek MAŁY MIŚ,POMORSKIE,gdański,Pruszcz Gdański,Cieplewo,ul. Długa,14,,malymis.cieplewo@gmail.com,796155283,46,46,www.maly-mis.com
2633,17573/Z,Żłobek Stefcio Lewcio,MAZOWIECKIE,Warszawa,Warszawa - Praga-Południe,Warszawa - Praga-Południe,ul. 21 Pułku Piechoty Dzieci Warszawy,11,U033,zlobekstefciolewcio@gmail.com,602514995,36,36,www.stefciolewcio.pl
2634,17574/Z,Niepubliczny Tęczowy Żłobek,ŁÓDZKIE,poddębicki,Poddębice,Poddębice,ul. Łęczycka,5A,,a.plusa@g.pl,691519555,29,30,https://przedszkole-teczowe.pl
2635,17851/Z,"Żłobek ,,Bajkowa Kraina"" w Czernikowie",KUJAWSKO-POMORSKIE,toruński,Czernikowo,Czernikowo,ul. Juliusza Słowackiego,20,,blewandowska@czernikowo.pl,534415216,60,60,"www.czernikowo.pl, www.zlobek-czernikowo.pl"
2636,17853/Z,Klub Dziecięcy A-KuKu,POMORSKIE,Gdynia,Gdynia,Gdynia,ul. Strzelców,1,u2,strzelcow@a-kuku.com,603800917,25,25,a-kuku.com
2637,17945/Z,Żłobek Publiczny nr 10 Misie-Pysie,MAŁOPOLSKIE,Kraków,Kraków-Podgórze,Kraków-Podgórze,ul. Jana Kantego Przyzby,10,,biuro@misie-pysie.pl,505073737,68,68,misie-pysie.pl
2638,17953/Z,"Żłobek Niepubliczny ""Hutniczek""",MAŁOPOLSKIE,Kraków,Kraków-Nowa Huta,Kraków-Nowa Huta,ul. Żaglowa,13B,,hutniczek.zaglowa@gmail.com,509388298,31,48,www.hutniczek.pl
2639,18364/Z,"Żłobek Gminny ""Maluch"" w Białym Borze",ZACHODNIOPOMORSKIE,szczecinecki,Biały Bór,Biały Bór,ul. Słupska,6,,maluch@bialybor.com.pl,947127318,14,15,
2640,18778/Z,ZŁOBEK U KRECIKA,KUJAWSKO-POMORSKIE,mogileński,Strzelno,Strzelno,ul. Rynek,2,,eccehomo.strzelno@gmail.com,601813783,16,35,
2641,18816/Z,Niepubliczny Żłobek A-KuKu ,POMORSKIE,Gdańsk,Gdańsk,Gdańsk,ul. Stężycka,64,7,stezycka@a-kuku.com,603800917,26,35,zlobek@a-kuku.com
2642,16811/Z,Akademia Montessori Koala,KUJAWSKO-POMORSKIE,Toruń,Toruń,Toruń,ul. Adama Asnyka,6 A,,biuro@akademiamontessori.eu,532264633,31,31,www.akademiamontessori.eu
2643,17099/Z,Klub dziecięcy Radość Maluszka,POMORSKIE,Gdańsk,Gdańsk,Gdańsk,al. Aleja Grunwaldzka,551,2,biuro@radoscmaluszka.pl,502384814,25,25,www.radoscmaluszka.pl
2644,17212/Z,Klub Dziecięcy Bajka,MAŁOPOLSKIE,nowosądecki,Muszyna,Muszyna,ul. Piłsudskiego,75,,przedszkolebajkamuszyna@gmail.com,798344622,18,15,fundacjarodzicedzieciom.pl
2645,17286/Z,Niepubliczny Żłobek A KUKU,WIELKOPOLSKIE,średzki,Zaniemyśl,Jeziory Małe,ul. Spacerowa,3,,sekretariat@akuku-lekno.pl,691615876,32,40,www.akuku-lekno.pl
2646,17892/Z,"Niepubliczny Żłobek "" Tęczowe Misie 2""",PODKARPACKIE,stalowowolski,Stalowa Wola,Stalowa Wola,ul. Józefa Poniatowskiego,41C,,kontakt@teczowe-misie.pl,728148655,25,25,teczowe-misie.pl
2647,17952/Z,Gminny Żłobek w Kąkolewie,WIELKOPOLSKIE,leszczyński,Osieczna,Kąkolewo,ul. Krzywińska,5,,zlobek.kakolewo@osieczna.pl,661217126,15,16,
2648,18056/Z,Żłobek Gminny w Bujnach Szlacheckich,ŁÓDZKIE,bełchatowski,Zelów,Bujny Szlacheckie,,51,,bujnyszl@interia.pl,446341521,14,14,
2649,18356/Z,Niepubliczny Żłobek Beztoskie Maluchy,MAZOWIECKIE,Warszawa,Warszawa - Praga-Południe,Warszawa - Praga-Południe,ul. Marii Rodziewiczówny,1,U10,beztroskiemaluchy@gmail.com,"501025195,505899820",32,40,www.beztroskiemaluchy.pl
2650,19222/Z,Gminny Klub Dziecięcy w Smołdzinie,POMORSKIE,słupski,Smołdzino,Smołdzino,ul. Tadeusza Kościuszki,24,,klubdziecka@smoldzino.com.pl,571679753,6,26,
2651,19262/Z,"""Klub dziecięcy ""Baja Land"" w Trzcielu",LUBUSKIE,międzyrzecki,Trzciel,Trzciel,ul. Główna,8,,zdz.trzciel@wp.pl,601199883,5,25,www.bajaland-trzciel.pl
2652,17391/Z,Żłobek Niepubliczny Norlandia,WARMIŃSKO-MAZURSKIE,Olsztyn,Olsztyn,Olsztyn,ul. Sielska,12D,,sekretariat@norlandia.pl,502458426,36,56,www.sielska.norlandiaprzedszkola.pl
2653,18676/Z,"Anglojęzyczny Klub Malucha ""Magic Baby""",DOLNOŚLĄSKIE,polkowicki,Polkowice,Polkowice,ul. Kolejowa,10,a,kontakt@magicschool.pl,693333133,13,13,
2654,18780/Z,Wesołe Smyki,ŁÓDZKIE,opoczyński,Drzewica,Drzewica,ul. Stawowa,58,,wesolesmyki@fep.edu.pl,501655792,29,29,
2655,18789/Z,Ekologiczny Klub Malucha Koziołek Niematołek,KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,Bydgoszcz,ul. Rysia,2,,biuro@koziolekniematolek.pl,668300247,21,30,www.koziolekniematolek.pl
2656,19427/Z,Żłobek Maleństwo i Przyjaciele Paweł Bobrowski,MAZOWIECKIE,Warszawa,Warszawa - Ursynów,Warszawa - Ursynów,al. Aleja Komisji Edukacji Narodowej,105,U7,sekretariatpraga@malenstwo24.pl,533844840,0,60,www.malenstwo24.pl
2657,20058/Z,Niepubliczny żłobek artystyczny Olinutki ,PODLASKIE,Białystok,Białystok,Białystok,ul. Kolejowa,12,1,zlobekolinutki@gmail.com,694390701,42,48,www.olinutki.com
2658,4357/Z,Mini Żłobek - filia żłobka nr 19,MAZOWIECKIE,Warszawa,Warszawa - Wola,Warszawa - Wola,ul. Górczewska,27/35,,zlobek19@zlobki.waw.pl,723248054,27,27,www.zlobki.waw.pl
2659,20917/Z,Żłobek Miejski nr 3,WARMIŃSKO-MAZURSKIE,Elbląg,Elbląg,Elbląg,ul. Romualda Mielczarskiego,47,,zlobek3@elblag.eu,552393020,60,60,
2660,20997/Z,"Klub Dziecięcy ""Baśniowa Kraina"" Agnieszka Przybył ",WIELKOPOLSKIE,ostrowski,Raszków,Raszków,ul. Kościelna,3,,basniowa.kraina@o2.pl,797633609,10,10,
2661,12490/Z,Akademia Malucha PUCHATKOWO,ŚLĄSKIE,Katowice,Katowice,Katowice,ul. Huculska,7,,huculska@puchatkowo.eu,+48605652990,20,50,https://puchatkowo.eu/
2662,17223/Z,Pozytywny żłobek w Swarzewie,POMORSKIE,pucki,Puck,Swarzewo,ul. Władysławowska,39,,s.markiewicz@pozytywneinicjatywy.pl,696624139,18,40,https://siec.pozytywneinicjatywy.pl/
2663,17771/Z,Niepubliczny Żłobek Terapeutyczny „Kiki”,MAŁOPOLSKIE,Kraków,Kraków-Śródmieście,Kraków-Śródmieście,ul. Bratkowa,1,,biuro@zlobek-kiki.pl,539363935,13,15,https://zlobek-kiki.pl/
2664,18096/Z,"Samorządowy Żłobek ""Psotna Andzia"" w Przecławiu",PODKARPACKIE,mielecki,Przecław,Przecław,rynek Rynek,8,,sekretariat.zlobek@przeclaw.org,177493797,60,64,www.przeclaw.naszzlobek.com
2665,19263/Z,Niepubliczny Żłobek A-GUGU,MAZOWIECKIE,płoński,Płońsk,Płońsk,ul. Warszawska,18/20,,zlobek@a-gugu.pl,660771706,71,71,www.a-gugu.pl
2666,19550/Z,NIEPUBLICZNY ŻŁOBEK SPORTOWO-JĘZYKOWY FAIR-PLAY,MAŁOPOLSKIE,Kraków,Kraków-Krowodrza,Kraków-Krowodrza,ul. Bronowicka,138,,biuro@fairplay-bronowicka.pl,797125739,30,30,www.przedszkolefairplay.info.pl
2667,19997/Z,Niepubliczny Żłobek Słodziaki,WIELKOPOLSKIE,poznański,Tarnowo Podgórne,Wysogotowo,ul. Batorowska,12,,slodziakizlobek@gmail.com,508118451,41,42,www.slodziakizlobek.pl
2668,20059/Z,Miejski Żłobek Publiczny im. Kubusia Puchatka w Węglińcu,DOLNOŚLĄSKIE,zgorzelecki,Węgliniec,Węgliniec,ul. Kochanowskiego,9,,sekretariat@zlobekwegliniec.pl,668401452,38,38,zlobekwegliniec.pl
2669,20197/Z,Niepubliczny Żłobek Ozonki,MAŁOPOLSKIE,Kraków,Kraków-Krowodrza,Kraków-Krowodrza,ul. Stefana Banacha,47,U1,ozon@ozon2.pl,696779069,40,40,www.ozon2.pl
2670,18788/Z,Esy Floresy,ŁÓDZKIE,Łódź,Łódź-Widzew,Łódź-Widzew,ul. Anny Jagiellonki,2,,zlobekesyfloresylodz@gmail.com,502672721,22,23,
2671,18914/Z,Żłobek Gminny w Bogorii,ŚWIĘTOKRZYSKIE,staszowski,Bogoria,Bogoria,ul. Leśna,10,,maluch.bogoria@wp.pl,887059599,30,30,
2672,19078/Z,Żłobek w Kruszwicy,KUJAWSKO-POMORSKIE,inowrocławski,Kruszwica,Kruszwica,ul. Adama Mickiewicza,11,,zlobek@kruszwica.um.gov.pl,728500947,24,32,
2673,19264/Z,Niepubliczny Żłobek Tuli luli Dywity,WARMIŃSKO-MAZURSKIE,olsztyński,Dywity,Dywity,ul. Kwiatowa,23,-,kontakt@zlobek-przedszkole.pl,664229770,26,36,www.zlobek-przedszkole.pl
2674,9606/Z,Planeta Maluchów 2,ŚLĄSKIE,Żory,Żory,Żory,ul. Sądowa,11,,paks.biuro@gmail.com,886166861,84,185,www.planetamaluchow.pl
2675,19463/Z,Ogrodowe Maluszki,WIELKOPOLSKIE,Poznań,Poznań-Jeżyce,Poznań-Jeżyce,ul. Janusza Meissnera,4,U10 i U11,ogrodowemaluszki@gmail.com,609048228,16,25,www.ogrodowemaluszki.pl
2676,6075/Z,"Żłobek Integracyjny Punkt Opieki nad Dzieckiem ""Calineczka""",MAŁOPOLSKIE,Kraków,Kraków-Krowodrza,Kraków-Krowodrza,ul. Pod Fortem,2a,1,calineczka.integracja@gmail.com,730010305,23,25,www.calineczka.krakow.pl
2677,15079/Z,Gminny Żłobek nr 5,PODKARPACKIE,rzeszowski,Głogów Małopolski,Głogów Małopolski,ul. Lipieńska,9,,zlobek@glogow-mlp.pl,177776471,44,44,http://zlobek.glogow-mlp.pl/
2678,15080/Z,Żłobek Niepubliczny Promyk,ZACHODNIOPOMORSKIE,Szczecin,Szczecin,Szczecin,ul. Cynowa,9,,przedszkolepromyk@vp.pl,914605065,14,20,www.promyk.szczecin.pl
2679,15234/Z,Akademia Malucha- Klub Dziecięcy,MAŁOPOLSKIE,nowosądecki,Stary Sącz,Gołkowice Dolne,,149,,gocha.kurzeja@op.pl,513432904,27,24,
2680,15311/Z,"Żłobek Artystyczno-Sportowy ""Baśniowy Ogród"" ",MAZOWIECKIE,grodziski,Jaktorów,Międzyborów,ul. Matejki,6B,,info@basniowyogrod.edu.pl,+48693543433,34,55,www.basniowyogrod.edu.pl
2681,4923/Z,Żłobek Stokrotka,WIELKOPOLSKIE,Poznań,Poznań-Jeżyce,Poznań-Jeżyce,al. Wielkopolska,21/25,,stokrotka@zlobekpoznan.pl,537900966,137,137,https://zlobekpoznan.pl/zlobki/zlobek-stokrotka/
2682,15761/Z,Kucykowy Żłobek,ŁÓDZKIE,zgierski,Stryków,Smolice,,23C,,kucykowyzlobek@gmail.com,694432625,36,46,www.kucykowe-przedszkole.pl
2683,16551/Z,Klub dziecięcy Wesołe Maluszki,POMORSKIE,Gdańsk,Gdańsk,Gdańsk,ul. Świętokrzyska,53,,wesolemaluszki@wp.pl,788988259,20,20,www.zlobek-gdansk.pl
2684,17092/Z,Niepubliczny Klub Dziecięcy Tulisiowo ,DOLNOŚLĄSKIE,Wrocław,Wrocław-Psie Pole,Wrocław-Psie Pole,ul. Ramiszowska,11,1U,zlobektulisiowowroclaw@gmail.com,798262726,30,30,www.zlobektulisiowo.pl
2685,17273/Z,Zespół Klubów Dziecięcych Klub Dziecięcy Żłobkowe Krasnale II,PODKARPACKIE,strzyżowski,Strzyżów,Strzyżów,ul. Łukasiewicza,27,,krasnale.podkarpacie@wp.pl,533155622,17,17,www.ekrasnale.pl
2686,15633/Z,Klub dziecięcy ALL MY CHILDREN,POMORSKIE,Gdańsk,Gdańsk,Gdańsk,ul. Nieborowska,10,,allmychildren@wp.pl,603044471,13,25,www.allmychildren.pl
2687,17180/Z,Żłobek HULA HOP,MAZOWIECKIE,piaseczyński,Piaseczno,Zalesie Górne,ul. Sarenki,2,B,przedszkole@hula-hop.pl,607348304,13,13,
2688,17181/Z,Niepubliczny Żłobek MARCHEWKOWE POLE,LUBELSKIE,puławski,Puławy,Puławy,ul. Zielona,13,,jerzy.galczynski@smart-academy.pl,533974256,18,26,www.marchewkowepole.pulawy.pl
2689,17571/Z,Żłobek Niepubliczny Leśne Ludki Jakub Wróblewski,MAŁOPOLSKIE,bocheński,Bochnia,Proszówki,,151B,,centrumlesneludki@gmail.com,510631021,45,45,lesneludki.edu.pl
2690,19135/Z,KLUB DZIECIĘCY AKADEMIA MALUCHA III,ZACHODNIOPOMORSKIE,pyrzycki,Pyrzyce,Pyrzyce,ul. Tadeusza Kościuszki,36,,realizujmymarzenia@gmail.com,662003636,24,25,
2691,19579/Z,BOBIK Żłobek,ŚLĄSKIE,bielski,Jasienica,Międzyrzecze Górne,,574,,biuro@klubbobik.pl,504295296,25,26,https://przedszkole-miedzyrzecze.pl/
2692,21037/Z,Niepubliczny Żłobek Kraina Odkrywcy II,PODKARPACKIE,Rzeszów,Rzeszów,Rzeszów,al. Armii Krajowej,42B,,liberato.spolka@gmail.com,793481663,34,39,
2693,21057/Z,Filia Żłobka Samorządowego w Ozimku,OPOLSKIE,opolski,Ozimek,Ozimek,ul. gen. Władysława Sikorskiego,9D,,info@zso.ozimek.pl,774651139,43,50,www.zso.ozimek.pl
2694,21077/Z,ŻŁOBEK W GRĄDACH,OPOLSKIE,nyski,Otmuchów,Grądy,,32,,zggrady@wp.pl,774314006,26,40,
2695,21117/Z,Żłobek w Kostrzynie,WIELKOPOLSKIE,poznański,Kostrzyn,Kostrzyn,,28D,,zlobki@kostrzyn.wlkp.pl,616235559,36,36,
2696,21118/Z,"ŻŁOBEK ""KREATYWNE SMYKI""",PODLASKIE,bielski,Bielsk Podlaski,Bielsk Podlaski,ul. Grunwaldzka,8,,s.integracja@gmail.com,505282645,16,16,
2697,13029/Z,Żłobek Miejski w Krajence,WIELKOPOLSKIE,złotowski,Krajenka,Krajenka,ul. Stanisława Polańskiego,3,,zlobekmiejski.krajenka@gmail.com,539926312,23,24,
2698,13591/Z,MALI GIGANCI ŻŁOBEK,MAŁOPOLSKIE,Kraków,Kraków-Krowodrza,Kraków-Krowodrza,ul. Tytusa Czyżewskiego,3,LU 5,biuro@maligigancizlobek.pl,733300030,25,29,www.maligigancizlobek.pl
2699,9568/Z,"Żłobek ""ŚPIOSZEK""",MAŁOPOLSKIE,chrzanowski,Libiąż,Libiąż,ul. Ignacego Paderewskiego,4,67,spioszek.libiaz@gmail.com,533481086,30,44,www.spioszeklibiaz.pl
2700,13843/Z,Niepubliczny Żłobek EmiLudki,WIELKOPOLSKIE,czarnkowsko-trzcianecki,Trzcianka,Trzcianka,ul. Rzemieślnicza,11,,emiludki@op.pl,609887199,24,24,www.emiludki.com
2701,13847/Z,"Językowy Żłobek Niepubliczny ""Księga Przygód"" w Opolu",OPOLSKIE,Opole,Opole,Opole,ul. Józefa von Eichendorffa,3,,ksiegaprzygod.zlobek@onet.pl,+48690256041,30,62,www.ksiegaprzygod.pl
2702,14232/Z,"Niepubliczne Przedszkole i Żłobek ""NIEZAPOMINAJKA II"" Monika Gorgosz",WIELKOPOLSKIE,pleszewski,Pleszew,Zielona Łąka,ul. Długa,43,,info@niezapominajka-pleszew.pl,663871516,28,28,www.niezapominajka-pleszew.pl
2703,14234/Z,ŻŁOBEK REPUBLIKA MALUCHA,ZACHODNIOPOMORSKIE,świdwiński,Świdwin,Kluczkowo,,8,,koszalin@tpd24.pl,572824660,2,8,tpd24.pl
2704,14235/Z,ŻŁOBEK BAJKOWA KRAINA,ZACHODNIOPOMORSKIE,świdwiński,Świdwin,Oparzno,,31,,koszalin@tpd24.pl,572824680,4,8,tpd24.pl
2705,13799/Z,KRAINA MALUCHA Joanna Kosior,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,Łaziska,,30,,kontakt@przedszkolelaziska.pl,691970824,13,24,
2706,13800/Z,Akademia Maluszka,DOLNOŚLĄSKIE,Legnica,Legnica,Legnica,ul. Aleksandra Kamińskiego,19 i 21,,ama.legnica@wp.pl,883400885,38,40,
2707,14393/Z,Niepubliczny Dwujęzyczny Żłobek KIDS&Co.,WIELKOPOLSKIE,Poznań,Poznań-Wilda,Poznań-Wilda,ul. Przemysłowa,3,,magdalena.luzniak@kids-co.pl,887888174,31,23,www.kids-co.pl
2708,14664/Z,Żłobek Niepubliczny Ekomaluch,WIELKOPOLSKIE,poznański,Komorniki,Plewiska,ul. Grunwaldzka,581,,biuro@przedszkole-ekoludki.pl,502710502,25,25,zlobek-ekomaluch.pl
2709,14665/Z,"Językowo-Sportowy Niepubliczny Żłobek ""Mali Giganci""",MAZOWIECKIE,płoński,Płońsk,Płońsk,ul. Wyszogrodzka,24,,IKRAW78@ONET.EU,530441405,20,24,www.maligiganciplonsk.pl
2710,14668/Z,NIEPUBLICZNY ŻŁOBEK FAIR PLAY,DOLNOŚLĄSKIE,Wrocław,Wrocław-Fabryczna,Wrocław-Fabryczna,ul. Fabryczna,6,,biuro@przedszkolefairplay.wroclaw.pl,692120988,15,15,www.przedszkolefairplay.wroclaw.pl
2711,14873/Z,"Żłobek Centrum Rozwoju Dziecka ""Chochlik"" ",MAŁOPOLSKIE,krakowski,Wielka Wieś,Biały Kościół,ul. Rajska,15a,,paw.gietka@poczta.fm,500872400,15,18,crd-chochlik.pl
2712,14874/Z,Samorządowy Żłobek w Starzynie,POMORSKIE,pucki,Puck,Starzyno,ul. Żarnowiecka,22,,dyrektor@zlobekstarzyno.pl,517501308oraz500214574,44,38,www.zlobekstarzyno.pl
2713,14436/Z,Niepubliczny Żłobek Balonik,MAZOWIECKIE,Warszawa,Warszawa - Białołęka,Warszawa - Białołęka,ul. Józefa Mehoffera,45D,,balonikklubmalucha@gmail.com,796097886,30,30,
2714,14568/Z,Niepubliczny Dwujęzyczny Żłobek KIDS&Co.,ŁÓDZKIE,Łódź,Łódź-Widzew,Łódź-Widzew,al. marsz. Józefa Piłsudskiego,87,bud B,dagmara.czapinska@kids-co.pl,577777986,66,63,www.kids-co.pl
2715,14573/Z,Klub Malucha,POMORSKIE,malborski,Nowy Staw,Nowy Staw,ul. Jana Pawła II,2,,klubmaluchanowystaw@gmail.com,552715240,24,24,www.klubmaluchanowystaw.pl
2716,14577/Z,Żłobek Niepubliczny Norlandia,MAZOWIECKIE,Warszawa,Warszawa - Ursus,Warszawa - Ursus,ul. Edwarda Habicha,20,U7/U8,sylwia.brzezinska@norlandia.com,502458195,54,62,http://ursus.norlandiaprzedszkola.pl/
